id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_1724,"Caipora - Goddess Of The Forests","Seu nome tem origem na língua tupi: “kaa-póra” (habitante das matas), um ente fantástico que protege a natureza, em especial, os animais, à semelhança da deusas céltica Arduinna e nórdica Freya (todas igualmente acompanhadas por um porco selvagem) e das grego-romanas Artemis/Diana.",https://hvfartes.com.br/wp-content/uploads/2019/08/Caipora_Henrique-Vieira-Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/produto/caipora-goddess-of-the-forests/,"Henrique Vieira Filho, Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,wc_post_id_1724,https://hvfartes.com.br/carrinho/?add-to-cart=1724,"https://hvfartes.com.br/wp-content/uploads/2019/08/Caipora_Henrique-Vieira-Filho_divulgacao_pose_versao_web.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1723,"Birth Of The Saci","De origem tupi-guarani, não possui forma, daí sua associação com a força do vento (redemoinho…), capaz de revirar o ambiente. Ao tomar contato com a cultura africana, associou-se a imagem de uma criança, que teria até perdido uma perna devido à capoeira.",https://hvfartes.com.br/wp-content/uploads/2019/08/Nascimento-Do-Saci_Artista-Henrique-Vieira-Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/produto/birth-of-the-saci/,"Henrique Vieira Filho, Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,wc_post_id_1723,https://hvfartes.com.br/carrinho/?add-to-cart=1723,"https://hvfartes.com.br/wp-content/uploads/2019/08/Nascimento-do-Saci_Henrique_Vieira_Filho_divulgacao_pose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1661,"Yara - Mother Of The Waters","Yara, Uiara (do tupi y-îara, 'senhora das águas'). Guerreira das tradições indígenas (Tupi-Guarani), renasce como espírito nas águas doces, que se tornam seu domínio. A miscigenação com a cultura européia lhe antropomorfiza como Sereia.",https://hvfartes.com.br/wp-content/uploads/2019/08/Tela_Iara_Artista_Henrique_Vieira_Filho_Divulgacao_versao_web.jpg,https://hvfartes.com.br/produto/yara-mother-of-the-waters/,"Henrique Vieira Filho, Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,wc_post_id_1661,https://hvfartes.com.br/carrinho/?add-to-cart=1661,"https://hvfartes.com.br/wp-content/uploads/2019/08/Artwork_Iara_Mother_of_Water_Artist_Henrique_Vieira_Filho_versao_web.jpg,https://hvfartes.com.br/wp-content/uploads/2019/08/Artwork_Iara_Mother_of_Water_Artist_Henrique_Vieira_Filho_divulgacao_versao_web.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1655,"The Goddess Of The Seas","Inspirado nas tradições afro-brasileiras, em especial, Iemanjá, o Artista retrata a rainha do mar, deusa protetora, maternal e, ao mesmo tempo, senhora da força da natureza das águas, implacável quando necessário.",https://hvfartes.com.br/wp-content/uploads/2019/08/Artwork_The_Goddess_Of_The_Seas_Artist_Henrique_Vieira_Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/produto/goddess-of-the-seas/,"Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,wc_post_id_1655,https://hvfartes.com.br/carrinho/?add-to-cart=1655,"https://hvfartes.com.br/wp-content/uploads/2019/08/The_Goddess_Of_The_Seas_and_Artist_Henrique_Vieira_Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/wp-content/uploads/2019/08/Model_Tayna_Photografer_Henrique_Vieira_Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/wp-content/uploads/2019/08/The_Goddess_Of_The_Seas_Artist_Henrique_Vieira_Filho_divulgacao_versao_web.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1392,"Fashion Nature","Title: Fashion Nature 
Artist: Henrique Vieira Filho 
Mixed media on canvas 
Size: 80 x 120 cm -  31,5 x 47,25 inches 
Year: 2018 
Original Limited Edition Engraving: 08 
Hand signed by the Artis",https://hvfartes.com.br/wp-content/uploads/2018/12/Fashion-Nature-Artist-Henrique-Vieira-Filho-divulgacao-versao-web.jpg,https://hvfartes.com.br/produto/fashion-nature/,"projeto RE-ARTE, Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,wc_post_id_1392,https://hvfartes.com.br/carrinho/?add-to-cart=1392,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1386,"Genesis","Re – Arte 
Um SUPER trabalho do artista Henrique Vieira Filho que  fez uma releitura da obra 'O Berço'  de Melissa Zimosky.",https://hvfartes.com.br/wp-content/uploads/2018/12/Title_Genesis_Artist_Henrique_Vieira_Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/produto/genesis/,"projeto RE-ARTE, Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,wc_post_id_1386,https://hvfartes.com.br/carrinho/?add-to-cart=1386,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_1384,"CATrina","Re - Arte 
Em uma trabalho com a artista plástica Monique Nunes, onde o artista Henrique Vieira Filho  fez uma releitura das obras de Munique.",https://hvfartes.com.br/wp-content/uploads/2018/12/Title_CATrina_Artista_Henrique_Vieirs_Filho_divulgacao_versao_web-1.jpg,https://hvfartes.com.br/produto/catrina/,"projeto RE-ARTE, Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,wc_post_id_1384,https://hvfartes.com.br/carrinho/?add-to-cart=1384,"https://hvfartes.com.br/wp-content/uploads/2018/10/SAM_101_0072_360.jpg,https://hvfartes.com.br/wp-content/uploads/2018/10/O20Artista20PlC3A1stico20e20Psicanalista20Henrique20Vieira20Filho20apresenta20sua20releitura20das20aquarelas20da20da20BiC3B3loga20e20Artista20PlC3A1stica20Monique20Nunes.jpeg,https://hvfartes.com.br/wp-content/uploads/2018/10/Titulo_-CATrina_Artista_Henrique_Vieira_Filho_Projeto_ReArte_versao_web.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Hammer March_635,"Hammer March","O Artista homenageia Pink Floyd ressaltando a simbologia ambivalente do martelo (que tanto constrói, quanto destrói) e do muro (que protege, porém isola).",https://hvfartes.com.br/wp-content/uploads/2018/08/Tela_Hammer_March_Artista_Henrique_Vieira_Filho_1600x1067px.jpg,https://hvfartes.com.br/produto/hammer-march/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Hammer March_635,https://hvfartes.com.br/carrinho/?add-to-cart=635,"https://hvfartes.com.br/wp-content/uploads/2018/08/Afrodite_Henrique_Vieira_Filho_Selo_Autenticacao_Holografico.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
wc_post_id_557,"Opcional - Acabamento Em Chassis De Madeira","Por padrão, nossas as obras de Arte são enviadas em tubos, com as telas enroladas, ficando a cargo do comprador aplicar o acabamento que desejar, 
 
Ao incluir este Opcional de Acabamento, nossa Galeria  se incumbe da montagem da tela, em chassis de madeiras de reflorestamento (não necessitam de moldura externa). 
 
Chassi é o nome da armação de madeira onde é tensionada a tela, sendo este o mais tradicional e o mais adequado para emoldurar. 
 
Continuidade nas Bordas - Tela com arte contínua nas laterais, dando um toque especial a peça, dispensando, assim a moldura. Com um toque de modernidade, a continuidade da arte nas laterais destacam a Arte no ambiente. 
 
Acabamento Selado: Verso com acabamento selado em fita Craft de alta densidade, reforçando para que a tela fique sempre bem tensionada e protegendo os grampos .",https://hvfartes.com.br/wp-content/uploads/2018/08/Afrodite_Henrique_Vieira_Filho_Selo_Autenticacao_Holografico.jpg,https://hvfartes.com.br/produto/opcional-acabamento-em-chassis-de-madeira/,"Série Afrodites, Série I Ching, Telas - Pinturas - Gravuras, Série Mitologia, Série Giocondas","HVF Artes",170BRL,in stock,wc_post_id_557,https://hvfartes.com.br/carrinho/?add-to-cart=557,"https://hvfartes.com.br/wp-content/uploads/2018/08/montagem_tela_1.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/montagem_tela_2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,170BRL,new,published,,
Megalopolitanos_554,"Megalopolitanos","O morro como Torre de Babel e o muro que divide realidades, do esplendor da Natureza aos perigos da força guerreira terra-cota, passando por Roger Waters e Salvador Dali, sob as bênçãos de esperança da Sadako e seus Tsurus.",https://hvfartes.com.br/wp-content/uploads/2018/08/Monumento_Divulgacao_1660x1067px_versao_web.jpg,https://hvfartes.com.br/produto/megalopolitanos/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Megalopolitanos_554,https://hvfartes.com.br/carrinho/?add-to-cart=554,"https://hvfartes.com.br/wp-content/uploads/2016/08/820-Hsu-A-Espera.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/Tela_Megalopolitanos_Artista_Henrique_Vieira_Filho_Divulgacao_versao_web.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Polimetropolis_552,"Polimetropolis","Arquiteturas icônicas da Cidade de São Paulo, mescladas em cores, luzes e texturas, com o Teatro Municipal, os prédios da região do Viaduto Santa Ifigênia, em contraste com a contemporaneidade da Ponte Estaiada.",https://hvfartes.com.br/wp-content/uploads/2018/08/Pauliceia_Polis_Divulgacao_30x45cm_300dpi.jpg,https://hvfartes.com.br/produto/polimetropolis/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Polimetropolis_552,https://hvfartes.com.br/carrinho/?add-to-cart=552,"https://hvfartes.com.br/wp-content/uploads/2018/08/Tela_Polimetropolis_Artista_Henrique_Vieira_Filho_divulgacao_versao_web.jpg,https://hvfartes.com.br/wp-content/uploads/2016/08/820-Hsu-A-Espera.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Berlin Wall_550,"Berlin Wall","Icônico, histórico, o Muro de Berlim, com as cotidianas crianças de Henri Cartier-Bresson e ele próprio na tela, juntamente com versões jovens do artista e  de  Pedro Bial, que aparece já adulto, como parte dos grafites que profetizam a queda, sob as bênçãos de paz dos Tsurus.",https://hvfartes.com.br/wp-content/uploads/2018/08/image12.jpg,https://hvfartes.com.br/produto/berlin-wall/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Berlin Wall_550,https://hvfartes.com.br/carrinho/?add-to-cart=550,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Tarot - The Tower_548,"Tarot - The Tower","O muro que deveria proteger, vestindo-nos como torre, e que, tal qual Babel, sofre a ação transcendente que nos força a sair da inércia.",https://hvfartes.com.br/wp-content/uploads/2018/08/image11.jpg,https://hvfartes.com.br/produto/tarot-the-tower/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Tarot - The Tower_548,https://hvfartes.com.br/carrinho/?add-to-cart=548,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Wall Face_546,"Wall Face","As defesas emocionais com as quais nos escutamos, ora protegem, ora limitam, podendo nos emparedar em nossos traumas.",https://hvfartes.com.br/wp-content/uploads/2018/08/Wall-FAce.jpg,https://hvfartes.com.br/produto/wall-face/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Wall Face_546,https://hvfartes.com.br/carrinho/?add-to-cart=546,"https://hvfartes.com.br/wp-content/uploads/2018/08/20180503_170037.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/20180503_164811.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/20180503_164628.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/Arte_Terapia_Henrique_Vieira_Filho_25.jpg,https://hvfartes.com.br/wp-content/uploads/2016/08/820-Hsu-A-Espera.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Rio Wall_544,"Rio Wall","O morro como Torre de Babel e o muro que divide realidades, do esplendor da Natureza aos perigos da força guerreira terra-cota, passando por Roger Waters e Salvador Dali, sob as bênçãos de esperança da Sadako e seus Tsurus.",https://hvfartes.com.br/wp-content/uploads/2018/08/image48.png,https://hvfartes.com.br/produto/rio-wall/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Rio Wall_544,https://hvfartes.com.br/carrinho/?add-to-cart=544,"https://hvfartes.com.br/wp-content/uploads/2018/08/20180503_170657.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/20180503_170603.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/Arte_Terapia_Henrique_Vieira_Filho_37.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
The Wall_542,"The Wall","O Artista homenageia Roger Waters (Pink Floyd), retratado como o rosto que horroriza e de braços abertos na explosão de cores prismáticas que nos liberta do muro de nossos traumas.",https://hvfartes.com.br/wp-content/uploads/2018/08/The-Wall.jpg,https://hvfartes.com.br/produto/the-wall/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,The Wall_542,https://hvfartes.com.br/carrinho/?add-to-cart=542,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Thousand Tsurus_1710,"Thousand Tsurus","Exatos mil tsurus ornamentam o empoderamento feminino oriental, homenageando a clássica pose da “Estátua Da Paz”, de Nagasaki, meditando e zelando pela paz.",https://hvfartes.com.br/wp-content/uploads/2018/08/image18.jpg,https://hvfartes.com.br/produto/thousand-tsurus-2/,"Artistas Contemporâneos, Henrique Vieira Filho, Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Thousand Tsurus_1710,https://hvfartes.com.br/carrinho/?add-to-cart=1710,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Thousand Tsurus_540,"1000 Tsurus","Exatos mil tsurus ornamentam o empoderamento feminino oriental, homenageando a clássica pose da “Estátua Da Paz”, de Nagasaki, meditando e zelando pela paz.",https://hvfartes.com.br/wp-content/uploads/2018/08/image18.jpg,https://hvfartes.com.br/produto/thousand-tsurus/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Thousand Tsurus_540,https://hvfartes.com.br/carrinho/?add-to-cart=540,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Sadako_538,"Sadako","Esta obra homenageia o espírito da pequena Sadako Sasaki, que buscou a paz nas asas de mil origamis tsurus e que aqui se encontra sob chuva de flores de laranjeira, elevada ao Monte Fuji, em pose que remete ao icônico “Monumento das Crianças à Paz” (Torre dos Tsurus), em Hiroshima.",https://hvfartes.com.br/wp-content/uploads/2018/08/image16.jpg,https://hvfartes.com.br/produto/sadako/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Sadako_538,https://hvfartes.com.br/carrinho/?add-to-cart=538,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Wings of Wishes_536,"Wings of Wishes","O Universo pede mil tsurus origamis em troca de cada desejo, que nesta obra, voa pelos céus transbordando paz e esperança.",https://hvfartes.com.br/wp-content/uploads/2018/08/image19.jpg,https://hvfartes.com.br/produto/wings-of-wishes/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Wings of Wishes_536,https://hvfartes.com.br/carrinho/?add-to-cart=536,"https://hvfartes.com.br/wp-content/uploads/2018/08/Mil-Tsurus-21.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/Slow_Art_Week_Artista_e_Psicanalista_Henrique_Vieira_Filho_-17.jpg,https://hvfartes.com.br/wp-content/uploads/2018/08/Slow_Art_Week_Artista_e_Psicanalista_Henrique_Vieira_Filho_-22-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Tsuru Constellation_534,"Tsuru Constellation","Mil tsurus, um desejo... 
Cada desejo, uma nova estrela nesta Constelação.",https://hvfartes.com.br/wp-content/uploads/2018/08/image22.jpg,https://hvfartes.com.br/produto/tsuru-constellation/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Tsuru Constellation_534,https://hvfartes.com.br/carrinho/?add-to-cart=534,"https://hvfartes.com.br/wp-content/uploads/2018/08/Slow-Art-Week-Brazil-Artista-e-Psicanalista-Henrique-Vieira-Filho-72.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Wings of Peace_532,"Wings Of Peace","Esta obra honra os desejos da pequena Sadako: 
_ “Eu escreverei paz em suas asas e você voará o mundo inteiro”. 
_ “Este é o nosso Grito. Esta é a nossa oração: Paz no Mundo”.",https://hvfartes.com.br/wp-content/uploads/2018/08/image21.jpg,https://hvfartes.com.br/produto/wings-of-peace/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Wings of Peace_532,https://hvfartes.com.br/carrinho/?add-to-cart=532,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Hope_529,"Hope","Esta obra homenageia a “Estátua Da Paz”, no Parque da Paz, de Nagasaki, onde o colosso do escultor Seibou Kitamura medita e vigia quanto à ameaça nuclear, ao mesmo tempo em que acena com a esperança.",https://hvfartes.com.br/wp-content/uploads/2018/08/image20.jpg,https://hvfartes.com.br/produto/hope/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,Hope_529,https://hvfartes.com.br/carrinho/?add-to-cart=529,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
I Wish_527,"I Wish","Eis que o pedido chega ao rei dos Tsurus, em uma idílica cena onde esperança encontra o desejo.",https://hvfartes.com.br/wp-content/uploads/2018/08/image24.jpg,https://hvfartes.com.br/produto/i-wish/,"Telas - Pinturas - Gravuras","HVF Artes",4670BRL,in stock,I Wish_527,https://hvfartes.com.br/carrinho/?add-to-cart=527,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Sweeping Harpy_525,"Sweeping Harpy","Ora linda, ora terrível, o poder feminino alado, guerreiras dos deuses e que a tudo arrebatam.",https://hvfartes.com.br/wp-content/uploads/2018/08/image28.jpg,https://hvfartes.com.br/produto/sweeping-harpy/,"Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,Sweeping Harpy_525,https://hvfartes.com.br/carrinho/?add-to-cart=525,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Decipher Me_523,"Decipher Me","Alada, felina e humana, o fascínio da esfinge em toda a sua sedução e poder.",https://hvfartes.com.br/wp-content/uploads/2018/08/image10.jpg,https://hvfartes.com.br/produto/decipher-me/,"Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,Decipher Me_523,https://hvfartes.com.br/carrinho/?add-to-cart=523,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
Angel of Death_521,"Angel of Death","A Morte, ápice da vida, com suas belas asas a conduzir o renascimento.",https://hvfartes.com.br/wp-content/uploads/2018/08/image32.jpg,https://hvfartes.com.br/produto/angel-of-death/,"Telas - Pinturas - Gravuras, Série Mitologia","HVF Artes",4670BRL,in stock,Angel of Death_521,https://hvfartes.com.br/carrinho/?add-to-cart=521,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4670BRL,new,published,,
